,Acrolect,Creole_word,Creole_name
164,derrière, dèyè ,Martinique
165,derrière (cul)," deriè, tjou, bonda ",Martinique
166,deux, dé ,Martinique
167,devenir, vini ,Martinique
168,devenir (le), divini ,Martinique
169,devin," séyansié, gadè-d-zafè ",Martinique
170,deviner, divinen ; fè séyans ,Martinique
171,devoir (un), divwè ,Martinique
172,devoir," dwet, dwé ",Martinique
173,devoir (de l'argent), dwé ,Martinique
174,directeur," dirèktè, mèt-a-manyôk ",Martinique
175,direction, dirèksyon ,Martinique
176,divinasyon, séyans ,Martinique
177,doigt, dwèt ,Martinique
178,dormir, dômi ,Martinique
179,dos, do ,Martinique
180,doux, dous ,Martinique
181,drague, zay ,Martinique
182,dragueur, zayè,Martinique
183,écaille, zékay ,Martinique
184,éclair, zéklè ,Martinique
185,écorcher," kôché, griji ",Martinique
186,écorchure," kôchaj, griji, grijisman ",Martinique
187,écraser, krazé ,Martinique
188,écrevisse," kribich, zabitan ",Martinique
189,écrire," ékri, matjé ",Martinique
190,écrivain," écrivain, matjè ",Martinique
191,électeur, élèktè ,Martinique
192,élection, élèksyon ,Martinique
193,élève, zélèv ,Martinique
194,élever, élivé ,Martinique
195,éleveur de coqs de combat, pitè ,Martinique
196,embêter," tenmbolizé, tèrbolizé ",Martinique
197,embrouillamini," bankoulélé, lélékou, manjékochon ",Martinique
198,émietter, chiktayé ,Martinique
199,encre, lank ,Martinique
200,encrier, lankriyé ,Martinique
201,endurer," pijé, pwan fè ",Martinique
202,enfant," yich, timanmay, manmay ",Martinique
203,enfanter," fè yich, fè timanmay ",Martinique
204,enfuir (s')," wondi, mèch, pwan lavôl, fè lafimen ",Martinique
205,enregistrer , anrijistré ,Martinique
206,ensorceler," tjenbwazé, monté, pyayé ",Martinique
207,entraille," zantray, bway ",Martinique
208,épicerie," boutik, débi-d-laréji ",Martinique
209,épingle, zépeng ,Martinique
210,éplucher, pliché ,Martinique
211,épluchure, plichi ,Martinique
212,ergot, zègo ,Martinique
213,espiègle, katjopin ,Martinique
214,essayer," séyé, éséyé ",Martinique
215,etcoetera, kisasayésa ,Martinique
216,éternité ," létènité, tannité ",Martinique
217,étidiant, étidyan ,Martinique
218,étoile, zétwèl ,Martinique
219,étrenne, zétrenn ,Martinique
220,étude," étid, létid ",Martinique
221,étudier, étidyé ,Martinique
222,exciter (s'), fè chalè ,Martinique
223,fâcher, faché ,Martinique
224,famille, fanmi ,Martinique
225,facile," fasil, flouz ",Martinique
226,falloir," fôk, fodré, fo ",Martinique
227,fantôme, zonbi ,Martinique
228,farine (de froment), farin-fwans ,Martinique
229,fascicule, fasikil ,Martinique
230,fatiguer," fatidjé, renté, las, avanni ",Martinique
231,faucille, fosi ,Martinique
232,faute, fôt ,Martinique
233,fauteuil, fotèy ,Martinique
234,fenêtre," lafinèt, finèt ",Martinique
235,fier-à-bras, majô ,Martinique
236,fille, fi ,Martinique
237,femme, fanm ,Martinique
238,fendre, fann ,Martinique
239,feindre," fè wôl, fè lasanblan ",Martinique
240,feinte," flent, fent ",Martinique
241,feinter," flennté, fenté ",Martinique
242,fellation, sous ,Martinique
