,word,creole_word,creole name
205,when,"kilè, likè",hatian
206,which,"kilès, ke, ki",hatian
207,who,kilès,hatian
208,kilometer,kilomèt,hatian
209,cult,kilt,hatian
210,culture,"kilti, koutcha",hatian
211,farmer,kiltivatè; abitan,hatian
212,who,"kimoun, kilès",hatian
213,curious,kirye,hatian
214,what,kisa,hatian
215,leave,"kite, lese, pati, sotu",hatian
216,let v.,"kite, lage",hatian
217,quit,"kite, lage",hatian
218,abandon,kite,hatian
219,break up (relationship) v.,kite,hatian
220,spoon,kiyè,hatian
221,kitchen,"kizin, lakizin",hatian
222,cook (male) n,kizinye,hatian
223,cook (female) n,kizinyè,hatian
224,horn,klakxonn,hatian
225,clarify v,klarifye,hatian
226,class,klas,hatian
227,range v,klase,hatian
228,classic,klasik,hatian
229,clear adj,"klè, transparan, nèt",hatian
230,plain adj,"klè, kare",hatian
231,distinct,klè,hatian
232,explicit,klè,hatian
233,key,kle,hatian
234,clergyman,klèje,hatian
235,bright adj,"klere, eklere",hatian
236,brilliant,"klere, fò",hatian
237,shine v.,"klere, briye",hatian
238,light up,klere,hatian
239,flash v,klere,hatian
240,sparkle c,klere,hatian
241,gang,klik,hatian
242,weather,"klima, tan",hatian
243,bell,"klòch, kòch",hatian
244,bleach,kloròks,hatian
245,nail,"klou, (v) kloure",hatian
246,nail (v),kloure,hatian
247,holiday,knoje,hatian
248,lassitude,kò kraze,hatian
249,body,kò,hatian
250,self,kò,hatian
251,cohabit v,koabite,hatian
252,money,kòb,hatian
253,cent,kòbi; santim ò,hatian
254,bell,kòch,hatian
255,rasp v,"kòche, rape",hatian
256,abrade,kòche,hatian
257,flay,koche,hatian
258,skin v.,koche,hatian
259,hog,kochon,hatian
260,pig,kochon,hatian
261,pork,kochon,hatian
262,swine,kochon,hatian
263,cord n,kòd,hatian
264,zip code,kòd postal,hatian
265,rope,kòd,hatian
266,string,kòd,hatian
267,camera,kodak,hatian
268,plait v,kòde,hatian
269,turkey,kodenn,hatian
270,coefficient,koefisyan,hatian
271,merchant,koèsan,hatian
272,trunk,kòf,hatian
273,safe n,kòfrefò,hatian
274,Coka-cola,koka kola,hatian
275,coconut,kòk,hatian
276,rooster,kòk,hatian
277,artful,koken,hatian
278,knave,koken,hatian
279,rascal,koken,hatian
280,fantastic,kokenn,hatian
281,shell,koki,hatian
282,sore,kòkraz,hatian
283,collar,"kòl, chenn",hatian
284,kola,kola,hatian
285,collaborate v,"kolabore, soutni",hatian
286,breakfast,"kolasyon, dejne",hatian
287,perk up ones ears,kole zorèy,hatian
288,append,"kole, ajoute",hatian
289,anger n,"kòlè, kout san",hatian
290,attach,kole,hatian
291,bile,kòlè,hatian
292,couple v,kole,hatian
293,couple,kole,hatian
294,flush adj,kole,hatian
295,glue v.,kole,hatian
296,piece v,kole,hatian
297,collect,kolekte,hatian
298,pack n,koli,hatian
299,colon,"kolon, depwen",hatian
300,column n,"kolòn, pilye",hatian
301,colonel,kolonèl,hatian
302,colonial,kolonyal,hatian
303,color v,kolore,hatian
304,dye,kolore,hatian
305,as,"kom, menm ak",hatian
306,how much,"kòman, konbyen",hatian
307,hoe,kòman,hatian
308,commander,komandan,hatian
309,commend v,"kòmande, òdone",hatian
310,command v,kòmande,hatian
311,lead,kòmande,hatian
312,order v,kòmande,hatian
313,rule v,kòmande,hatian
314,command n,kòmann,hatian
315,order n,kòmann,hatian
316,begin,kòmanse,hatian
317,commence,kòmanse,hatian
318,common,komen,hatian
319,commerce,"komès, negòs",hatian
320,commit v,komèt,hatian
321,cartoon,"komik, desen anime",hatian
322,funny,komik,hatian
323,silly,komik,hatian
324,communal,kominal,hatian
325,community,kominate,hatian
326,communication,kominikasyon,hatian
327,communicate v,kominike,hatian
328,commission,komisyon,hatian
329,purchase,komisyon,hatian
330,purchase n,komisyon,hatian
331,as if,kòmsi,hatian
332,communion,komunyon,hatian
333,as that,kon sa,hatian
334,like,kon,hatian
335,horn,"kòn, klakxonn",hatian
336,gathering,"konbit, rasanbleman",hatian
337,how many,konbyen,hatian
338,how much,konbyen,hatian
339,condemn,kondane,hatian
340,convict n,kondane,hatian
341,pipe v,kondi,hatian
342,driver,kondiktè,hatian
343,condition,kondisyon,hatian
344,conditioned,kondisyone,hatian
345,conduct v,kondui,hatian
346,drive,kondui,hatian
347,conduct n,konduit,hatian
348,connect,konekte,hatian
349,knowledge,"konesans, save",hatian
350,acquaintance,"konesans, zanmi",hatian
351,understanding,konesans,hatian
352,advice,konèy,hatian
353,crow,kònèy,hatian
354,conference,konferans,hatian
355,confess v,konfese,hatian
356,confirm,konfime,hatian
357,preserve n,konfiti,hatian
358,confusion,konfizyon,hatian
359,amenity,"konfò, amenajman",hatian
360,comfort n,konfò,hatian
361,conform adj,konfòm,hatian
362,conform v,konfòme,hatian
363,comfortable,konfòtab,hatian
364,confront v.,konfwonte,hatian
365,conjecture n,konjekti,hatian
366,congest,"konjeste, bouche",hatian
367,congest v,"konjeste, bouche",hatian
368,conjugate,konjige,hatian
369,freeze,konjile,hatian
370,conjoin n,konjwen,hatian
371,conquer,konkeri,hatian
372,conclude,konkli,hatian
373,conclusion,konklizyon,hatian
374,competition,"konkou, konpetisyon",hatian
375,contest n,konkou,hatian
376,contest,konkou,hatian
377,concrete adj,konkrè,hatian
378,comrade,konmarad,hatian
379,used to,konn,hatian
380,know,konnen,hatian
381,home economics,konomi domestik,hatian
382,company,konpanyi,hatian
383,compare,konpare,hatian
384,comparison,konparezon,hatian
385,escort n,konpayon,hatian
386,capable,konpetan,hatian
387,contest n,"konpetisyon, konkou",hatian
388,competition,konpetisyon,hatian
389,complete adj,konplè,hatian
390,complete v,konplete,hatian
391,wholly,konplètmen,hatian
392,complicate,konplike,hatian
393,elaborate adj,konplike,hatian
394,plot v,konplote,hatian
395,behave,konpòte,hatian
396,behavior,konpòtman,hatian
397,compound n,"konpoze, alyaj",hatian
398,compose v,konpoze,hatian
399,comprehension,"konprann, konpreyansyon",hatian
400,comprehend,konprann,hatian
401,understand,konprann,hatian
402,wit,konprann,hatian
403,comprehension,konpreyansyon,hatian
404,really,"konsa menm, vrèman",hatian
405,that,konsa - like this,hatian
406,agree,"konsanti, dakò",hatian
407,consent,konsanti,hatian
408,concentration,konsantrasyon,hatian
409,concentrate,konsantre,hatian
410,important,konsekan,hatian
411,concept,konsèp,hatian
412,council,konsèy,hatian
413,advisor,konseyev,hatian
414,consider,konsidere,hatian
415,regard v,konsidere,hatian
416,consolate,konsila,hatian
417,consult v,"konsilte, mande konsèy",hatian
418,console v,konsole,hatian
419,consolidate,konsolide,hatian
420,smoulder,konsonmen,hatian
421,constant adj,"konstan, èmanan",hatian
422,constant n,konstant,hatian
423,constitution,konstitisyon,hatian
424,constitutional,konstitisyonèl,hatian
425,constitute v,konstitye,hatian
426,construct v,konstrui,hatian
427,build,konstwi,hatian
428,construction,konstwiksyon,hatian
429,conscience,konsyans,hatian
430,against,"kont, opoze",hatian
431,account,"kont, (v) jistifye, eksplike",hatian
432,enough adv,kont,hatian
433,enough,kont,hatian
434,story,kont,hatian
435,tale,kont,hatian
436,contaminate,kontamine,hatian
437,happy,"kontan, ere",hatian
438,cash adj,kontan,hatian
439,glad,kontan,hatian
440,jolly,kontan,hatian
441,behold,"kontanple, gade",hatian
442,gaze,kontanple,hatian
443,joy,"kontantman, lajwa",hatian
444,count v,konte,hatian
445,continue,kontinye,hatian
446,proceed,kontinye,hatian
447,content n,kontni,hatian
448,contort,kontòsyone,hatian
449,bypass v,kontoune,hatian
450,contract,kontra,hatian
451,chagrin n,"kontraryete, chagren",hatian
452,meet,"kontre ak, fè konesans",hatian
453,meet v,"kontre ak, fè konesans",hatian
454,contrary,"kontrè, opoze",hatian
455,encounter,kontre,hatian
456,contravene,"kontredi, kontrekare",hatian
457,contradict,kontredi,hatian
458,contravene,kontrekare,hatian
459,coerce,kontrenn,hatian
460,constrain,kontrenn,hatian
461,constrain v,kontrenn,hatian
462,contribute,kontribye,hatian
463,examine,"kontrole, egzamine",hatian
464,inspect,kontrole,hatian
465,remission,konvalesans,hatian
466,convention,konvansyon,hatian
467,couvenant,konvansyon,hatian
