word,creole_word,creole name
approach,"n aksè, apròch, fason",Haitian
approve,aprouve,Haitian
approximate,adj aproksimatif,Haitian
approximate,v aproksime,Haitian
apricot,abiko,Haitian
April,avril,Haitian
apt,"jis, aptopriye",Haitian
archbishop,monsenyè,Haitian
argue,"diskite, mentni",Haitian
arise,"pete, gaye, provni, plede",Haitian
arm,n bra,Haitian
arm,v ame,Haitian
armchair,"fotèy, dodin",Haitian
around,"alantou, otou, anviron",Haitian
arouse,"reveye, eksite",Haitian
arrange,"ranje, òganize",Haitian
array,etalaj,Haitian
arrest,arestasyon,Haitian
arrest,v arete,Haitian
arrive,rive,Haitian
arrogant,arogan,Haitian
arrow,flèch,Haitian
art,"ar, la",Haitian
artful,"rize, koken",Haitian
article,atik,Haitian
artificial,artifisyèl,Haitian
artistic,atistik,Haitian
as,"tankou, otan, kom, menm ak",Haitian
as for,ala,Haitian
as long as,tank,Haitian
as soon as possible,le pli vit ke posib,Haitian
as that,kon sa,Haitian
ascend,monte,Haitian
ascent,monte,Haitian
ascertain,"tcheke, rann kont",Haitian
ashamed,ront,Haitian
ashtray,sandriye,Haitian
aside,"akote, sou kote",Haitian
ask,mande,Haitian
askew,krochi,Haitian
asleep,nan dòmi,Haitian
aspect,aspè,Haitian
asphalt,asfalt,Haitian
ass,"bourik(donkey), dèyè(rear),",Haitian
bounda(buttock,butt),Haitian
assail,"asayi, atake",Haitian
assembly,asanble,Haitian
assert,revandike,Haitian
assign,"deziyen, anchaje",Haitian
assist,"ede, segonde",Haitian
assistance,asistans,Haitian
associate,v . asosye,Haitian
assume,sipoze,Haitian
assure,asire,Haitian
asterick,asteris*,Haitian
astonish,"etone, siprann",Haitian
astound,"fè sote, pantan",Haitian
astute,rize,Haitian
asunder,kase ande,Haitian
asylum,azil,Haitian
at,a,Haitian
athwart,antravè,Haitian
atomic,atomik,Haitian
atop,"anlè, soutèt",Haitian
atrocious,atròs,Haitian
attach,"tache, kole",Haitian
attack,atake,Haitian
attain,"atenn, rive",Haitian
attainment,reyalizasyon,Haitian
attempt,"n esè, tantataif",Haitian
attempt,"v tante, pran chans, eseye",Haitian
attention,n atansyon,Haitian
attest,ateste,Haitian
attitude,atitud,Haitian
attract,atire,Haitian
attribute,n kalite,Haitian
audit,verifye,Haitian
audience,odiyans,Haitian
August,out,Haitian
aunt,"tant, matant",Haitian
auspicious,favorab,Haitian
austere,"distan, endiferan",Haitian
authentic Creole,Kreyòl natif natal,Haitian
author,"otè, lotè, ekriven",Haitian
authority,otorite,Haitian
authorization,otorizasyon,Haitian
automobile,oto,Haitian
autumn,lotòn,Haitian
available,disponib,Haitian
avaricious,"oeng, kripya, ava",Haitian
avenge,vanje,Haitian
avenue,avnu,Haitian
average,mwayèn,Haitian
avert,"evite, detounen",Haitian
avid,"avid, grangou",Haitian
avocado,zaboka,Haitian
avoid,evite,Haitian
avouch,avalide,Haitian
awake,adj reveye,Haitian
award,prim,Haitian
away,lwen,Haitian
awful,terifyan,Haitian
awhile,on moman,Haitian
awkward,gòch,Haitian
axe,"rach , aks",Haitian
axis,aks,Haitian
azure,"ble,  A",Haitian
"at, in, to, about",a,Haitian
will,a,Haitian
at ease,a lèz,Haitian
kneeling,a jenou,Haitian
