word,creole_word,creole name
chair,chèz,Haitian
chairman,"presidan, direkte",Haitian
chalk,lakre,Haitian
chamber,chanm,Haitian
champ,chanpyon,Haitian
chance,chans,Haitian
chancel,v titile,Haitian
chandelier,chandelye,Haitian
change,n monnen,Haitian
change,v chanje,Haitian
chant,"n chante, refren",Haitian
chap,n kaskèt,Haitian
chap (young man),jenn gason,Haitian
chapter,chapit,Haitian
characteristic,karakteristik,Haitian
characterization,karakterizasyon,Haitian
characterize,karakterize,Haitian
charcoal,chabon,Haitian
charge,n chaj,Haitian
charge,v chaje,Haitian
charity,"charite, zèv",Haitian
Charles,Chal,Haitian
charm,"cham, bèlte",Haitian
chary,"v ezitan, pridan",Haitian
chase,"v kouri dèyè, chase",Haitian
chaste,adj tifi,Haitian
chat,v koze,Haitian
cheap,bon mache,Haitian
cheat,"v vole, tronpe",Haitian
check,v verifye,Haitian
check,n chèk,Haitian
checker,chekè,Haitian
cheek,"figi, po figi, jou",Haitian
cheer,"v ankouraje, aplodi",Haitian
cheese,fromaj,Haitian
chemistry,chimi,Haitian
cherish,pran swen,Haitian
cherry,seriz,Haitian
chess,echèk,Haitian
chest,n pwatrin,Haitian
chew,"v moulen, mache, kraze",Haitian
chew gum,v. manje chiklet,Haitian
chicken,poul,Haitian
chief,chèf,Haitian
child,"pitit, timoun",Haitian
chill,v rafredi,Haitian
chimney,chemine,Haitian
chin,manton,Haitian
china (porcelain),pòslèn chink,Haitian
chocolate,chokola,Haitian
choice,"chwa, preferans",Haitian
choke,n toufe,Haitian
choose,chwazi,Haitian
chop,"v tranche, koupe",Haitian
Christmas,Nwèl,Haitian
chuck,v flanke deyò,Haitian
chuckle,ri anbachal,Haitian
chum,"zanmi, patnè",Haitian
chump,v blòk,Haitian
church,legliz,Haitian
cigarette,sigarèt,Haitian
cinder,sann,Haitian
cinema,sinema,Haitian
circle,sèk,Haitian
circular,"ron, ansèk",Haitian
circumstance,sikonstans,Haitian
circus,sirk,Haitian
citadel,sitadèl,Haitian
citizen,sitwayen,Haitian
city,"vil, lavil",Haitian
city hall,lakomun,Haitian
civic,sivik,Haitian
civil,sivil,Haitian
claim,n reklamasyon,Haitian
clammy,mwat,Haitian
clamp,n kranpon,Haitian
clang,"v sonnen, rezone",Haitian
clap,"v aplodi, bat bravo",Haitian
clarify,"v eklèsi, klarifye",Haitian
clasp,n agraf,Haitian
class,klas,Haitian
classic,klasik,Haitian
clause,n propozisyon,Haitian
claw,n grif,Haitian
clay,"tè glèz, ajil",Haitian
clean,adj pròp clean,Haitian
clear,"adj klè, transparan, nèt",Haitian
clear,v debarase,Haitian
cleave,fann,Haitian
clement,gen pitye,Haitian
clench,"v mare, sere, ponyen",Haitian
clergyman,klèje,Haitian
clerk,komi,Haitian
clever,entelijan,Haitian
cliff,falèz,Haitian
climb,granpe,Haitian
cloak,n mask,Haitian
clock,"revèy, lòlàj",Haitian
clod,bit tè,Haitian
close,v fèmen close,Haitian
cloth,twal,Haitian
clothe,abiye,Haitian
clothes,rad,Haitian
clothing,rad,Haitian
cloud,"nuaj, nyaj",Haitian
clump,n touf,Haitian
clumsy,"adj gòch, maladwa",Haitian
cluster,grap,Haitian
coal,chabon,Haitian
coarse,koryas,Haitian
coast,n rivaj,Haitian
coast,v desann sou roulib,Haitian
coat,n manto,Haitian
coat,v kouvri ak kouch,Haitian
coax,v kajole,Haitian
cobweb,fil arenyen,Haitian
cock,n kòk,Haitian
cock,"v ame, branche",Haitian
cockpit,gagè,Haitian
coddle,v dòlote,Haitian
coefficient,koefisyan,Haitian
coerce,kontrenn,Haitian
coffee,kafe,Haitian
coffin,sèjèy,Haitian
cognac,konyak,Haitian
cohabit,v koabite,Haitian
coin,n monnen,Haitian
coincidence,konyensidans,Haitian
Coka-cola,koka kola,Haitian
cold,n fredi,Haitian
cold,adj. frèt,Haitian
collaborate,"v kolabore, soutni",Haitian
collar,"kòl, chenn",Haitian
collect,"rasanble, kolekte",Haitian
college,kolèj,Haitian
colloquial,familye,Haitian
colon,"kolon, depwen",Haitian
colonel,kolonèl,Haitian
colonial,kolonyal,Haitian
color,n koulè,Haitian
color,v kolore,Haitian
column,"n kolòn, pilye",Haitian
comb,peny,Haitian
come,vini,Haitian
come in,antre,Haitian
comfort,n konfò,Haitian
comfrot,v rekonfòte,Haitian
comfortable,konfòtab,Haitian
command,n kòmann,Haitian
command,v kòmande,Haitian
commarade,kanmarad,Haitian
commence,kòmanse,Haitian
commend,n lòd,Haitian
commend,"v kòmande, òdone",Haitian
commerce,"komès, negòs",Haitian
commision,komisyon,Haitian
commit,v komèt,Haitian
common,komen,Haitian
communal,kominal,Haitian
communicate,v kominike,Haitian
communication,kominikasyon,Haitian
communion,komunyon,Haitian
community,kominate,Haitian
company,konpanyi,Haitian
compare,konpare,Haitian
comparison,konparezon,Haitian
competency test,egzamen konpetans,Haitian
competition,"konkou, konpetisyon",Haitian
complain,plenyen,Haitian
complete,v konplete,Haitian
complete,adj konplè,Haitian
complicate,konplike,Haitian
compose,v konpoze,Haitian
compound,"n konpoze, alyaj",Haitian
comprehend,konprann,Haitian
comprehension,konprann,Haitian
comrade,konmarad,Haitian
conceal,kache,Haitian
concentrate,konsantre,Haitian
concentration,konsantrasyon,Haitian
concept,konsèp,Haitian
conch,"Lambi ( conch shell - Mussel ),  Conch: any of various large spiral-shelled marine ,  gastropod mollusks (as of the genus Strombus),  Native to the Caribbean,( Haitian Foods )",Haitian
concise,"brèf, kout",Haitian
conclude,konkli,Haitian
concrete,n siman,Haitian
concrete,adj konkrè,Haitian
condemn,kondane,Haitian
condition,n kondisyon,Haitian
conditioned,kondisyone,Haitian
condone,favorize,Haitian
conduct,v kondui,Haitian
conduct,n konduit,Haitian
confetionery,n sirèt,Haitian
confess,v konfese,Haitian
confident,"asire, gen konfyans",Haitian
confirm,konfime,Haitian
conform,v konfòme,Haitian
conform,adj konfòm,Haitian
confused,"adj egare, gaga, mele",Haitian
confusion,konfizyon,Haitian
congest,"v bloke, konjeste, bouche",Haitian
congratulate,fè konpliman,Haitian
congregate,"reyini, rasanble",Haitian
conjecture,n konjekti,Haitian
conjoin,n konjwen,Haitian
connect,konekte,Haitian
conquer,konkeri,Haitian
conscience,konsyans,Haitian
conscious,adj gen konesans,Haitian
consent,konsanti,Haitian
consider,konsidere,Haitian
consolate,konsila,Haitian
console,v konsole,Haitian
consolidate,konsolide,Haitian
constant,n konstant,Haitian
constant,"adj konstan, èmanan",Haitian
constitute,v konstitye,Haitian
constitution,konstitisyon,Haitian
constitutional,konstitisyonèl,Haitian
constain,"v rennen, frennen, kontrenn",Haitian
construct,v konstrui,Haitian
construction,konstwiksyon,Haitian
consult,"v konsilte, mande konsèy",Haitian
contaminate,kontamine,Haitian
contempt,mepri,Haitian
contend,"v deklare, soutni, kenbe",Haitian
content,adj sanisfè,Haitian
content,n kontni,Haitian
contest,"n konpetisyon, konkou",Haitian
continue,kontinye,Haitian
contort,kontòsyone,Haitian
contract,kontra,Haitian
contradict,kontredi,Haitian
contrary,"kontrè, opoze",Haitian
contravene,"kontredi, kontrekare",Haitian
contribute,kontribye,Haitian
convene,"konvoke, reyini",Haitian
convenient,pratik,Haitian
convention,konvansyon,Haitian
conversation,"konvèsasyon, koze",Haitian
convey,tansmèt,Haitian
convict,n kondane,Haitian
convict,v deklare koupab,Haitian
convince,konvenk,Haitian
cook (male),n kizinye,Haitian
cook (female),n kizinyè,Haitian
cool,frèt,Haitian
cop,jandam,Haitian
cope,"debouye, abitye",Haitian
copper,kuiv,Haitian
copy,v kopye,Haitian
copy,n kopi,Haitian
cord,n kòd,Haitian
cork,n bouchon lyèj,Haitian
corn,mayi,Haitian
corner,n kwen,Haitian
corner,"v kwense, bare",Haitian
cornflower,flè mayi,Haitian
corpse,kadav,Haitian
correct,adj kòrèk,Haitian
correct,v korije,Haitian
correspond,"koresponn, ekri",Haitian
corrode,rouye,Haitian
corrupt,"còronp, visle",Haitian
cost,v koute,Haitian
cost,n pri,Haitian
cotton,koton,Haitian
couch,kanape,Haitian
cough,n tous,Haitian
cough,v touse,Haitian
council,konsèy,Haitian
count,n dekont,Haitian
count,v konte,Haitian
country (nation),peyi,Haitian
county,depatman,Haitian
couple,"n koup, pè",Haitian
couple,"v marye, kole",Haitian
courage,kouraj,Haitian
course,n kous,Haitian
of course,men wi,Haitian
court,"tribinal, lakou",Haitian
courteous,koutwa,Haitian
cousin (male),kouzen,Haitian
cousin (female),kouzin,Haitian
couvenant,"n ak1o, konvansyon",Haitian
cover,"n kouvèti, proteksyon",Haitian
cover,v kouvri,Haitian
cow,"bèf, vach",Haitian
coward,kapon,Haitian
crack,"n krak, fant",Haitian
cradle,bèso,Haitian
crafty,"adj rize, abil",Haitian
cram,"v noure, bachote",Haitian
crash,n fraka,Haitian
crash,v kraze,Haitian
crave,anvi,Haitian
crawl,ranpe,Haitian
crayfish,kribich,Haitian
crazy,fou,Haitian
creak,v krake,Haitian
cream,krèm,Haitian
Crease,pli,Haitian
create,kreye,Haitian
creature,"kreyati, kretyen",Haitian
credit,n kredi,Haitian
credit,v kredite,Haitian
creed,kredo,Haitian
creek,rivyè,Haitian
creep,"v ranpe, glise",Haitian
Creole,adj kreyòl,Haitian
crew,ekip,Haitian
crib,bèso,Haitian
crime,krim,Haitian
cripple,v estropye,Haitian
cripple,n enfim,Haitian
crisp,sèk,Haitian
crook,vòlè,Haitian
crooked,krochi,Haitian
crop,rekòlt,Haitian
cross,kwa,Haitian
cross,"v travèse, kwaze",Haitian
crow,kònèy,Haitian
crowd,n foul,Haitian
crowd,v ankonbre,Haitian
crucify,v krisifye,Haitian
crude,"adj kri, grosye",Haitian
cruel,"kyiyèl, mechan",Haitian
cruise,kwazyè,Haitian
crumb,"krout, myèt",Haitian
crush,v kraze,Haitian
crust,krout,Haitian
cry,v kriye,Haitian
Cuba,Kiba,Haitian
cult,kilt,Haitian
culture,"kilti, koutcha",Haitian
cunning,malen,Haitian
cup,gode,Haitian
curd,lètkaye,Haitian
cure,v swanye cure,Haitian
curious,kirye,Haitian
curl,pli,Haitian
currency,lajan,Haitian
current,adj kouran,Haitian
current,n kouran elektrik,Haitian
curse,n malediksyon,Haitian
curse,"v joure, modi",Haitian
curtain,rido,Haitian
curve,koub,Haitian
cushion,kousen,Haitian
custody,suveyans,Haitian
cut,v koupe,Haitian
cute,bèl,Haitian
cycle (bicycle),bisiklèt,Haitian
pay,caffer,Haitian
a massive fortress erected by king Henry Chritsophe,citadel,Haitian
charcoal,chabon,Haitian
coal,chabon,Haitian
look for,chache,Haitian
grapefruit,chadèk,Haitian
regret n,chagren,Haitian
loss,chagren,Haitian
sorrow,chagren,Haitian
load,chaj (chaje),Haitian
charge,chaj,Haitian
every,chak,Haitian
each,chak,Haitian
everyday,chak jou,Haitian
every time,chak fwa,Haitian
annual,chak ane (lan),Haitian
heat,chalè,Haitian
warmth,chalè,Haitian
straw,chalimo,Haitian
charm,cham (bèlte),Haitian
appeal (legal),cham,Haitian
appeal,cham,Haitian
bewitch,chame (ansòsele),Haitian
camel,chamo,Haitian
sweater,chanday,Haitian
candle,chandèl,Haitian
chandelier,chandelye,Haitian
alter,chanje (altere),Haitian
switch,chanje (pase),Haitian
change,chanje,Haitian
shift,chanje,Haitian
change,chanje,Haitian
exchange,chanje,Haitian
vary,chanje,Haitian
bedroom,chanm,Haitian
room,chanm,Haitian
mushroom,chanpiyon (djondjon),Haitian
shampoo,chanpou,Haitian
champion,chanpyon,Haitian
luck,chans,Haitian
chance,chans,Haitian
sing,chante,Haitian
song,chante,Haitian
carpenter,chapantye,Haitian
escape,chape (pati),Haitian
survive,chape,Haitian
chapter,chapit,Haitian
bead,chaplèt,Haitian
hat,chapo,Haitian
charity,charite (zèv),Haitian
reek,charony,Haitian
carriage,charyo (kabwèt),Haitian
flush,chase (vide),Haitian
chase,chase,Haitian
evict,chase,Haitian
hunt,chase,Haitian
hunter,chasè,Haitian
cat,chat,Haitian
castle,chato,Haitian
castigate,chatye (joure),Haitian
flesh,chè,Haitian
meat,chè,Haitian
precious,chè,Haitian
dear,chè,Haitian
expensive,chè,Haitian
search,chèche,Haitian
explore,chèche,Haitian
fetch,chèche,Haitian
look for,chèche,Haitian
seek,chèche,Haitian
chief,chèf,Haitian
sheriff,chèfseksyon,Haitian
money order,chèk sètifye,Haitian
check,chèk,Haitian
warrant,chèk,Haitian
checker,chekè,Haitian
vain,chèlbè,Haitian
road,"chemen, rout",Haitian
short cut,chemen kout,Haitian
path,chemen,Haitian
way,chemen,Haitian
chimney,chemine,Haitian
shirt long-sleeved,chemiz manch-long,Haitian
shirt,chemiz,Haitian
dog,chen,Haitian
chain,chenn,Haitian
collar,chenn,Haitian
darling,cheri,Haitian
nun,chèsè,Haitian
horse,cheval,Haitian
hair,cheve,Haitian
chair,chèz,Haitian
number,chif (nimewo),Haitian
gum,chiklèt (v gonmen),Haitian
chemistry,chimi,Haitian
Chinese,Chinwa,Haitian
dodge (quick turn),chiray,Haitian
washed-up,chire,Haitian
nack,chire (rache),Haitian
surgeon,chirijyen,Haitian
seat,chita,Haitian
sit,chita,Haitian
fit (fits well),chita bien,Haitian
hot,cho,Haitian
scald,chode,Haitian
cauldron,chodyè,Haitian
drive,chofè,Haitian
taxi(cab) driver,chofè taksi,Haitian
"driver, conductor",chofè (kondiktè),Haitian
chauffeur,chofè,Haitian
bus driver,chofè otobis,Haitian
shock,chòk (choke),Haitian
bump,chòk (kou),Haitian
"blow - shock, bump, impact: trauma",chòk,Haitian
blow,chòk,Haitian
heat rash, athletes's foot,Haitian
chocolate,chokola,Haitian
unemployment,chomaj,Haitian
socks,chosèt,Haitian
stockings,chosèt,Haitian
short,chòt (nout kanson),Haitian
sauserkraut,chou nan vinèg,Haitian
cabbage,chou,Haitian
woman's genitals,chouchoun,Haitian
stump (tree or human limb),chouk,Haitian
rumor,chuichui,Haitian
whisper,chuichui,Haitian
cauliflower,chouflè,Haitian
kick,choute,Haitian
bald,chòv,Haitian
bat,chòvsourit,Haitian
choice,chwa (preferans),Haitian
horse,chwal (cheval),Haitian
elect,chawzi,Haitian
choose,chawzi,Haitian
elect,chwazi (eli),Haitian
select - to choose,chwazi,Haitian
corrupt,"còronp (visle),  D ~ Kreyol pronunciation ( day ) ",Haitian
( sounds like the da in daily )dabble,babote,Haitian
daddy,papa,Haitian
daft,"idyo, bèt",Haitian
daily,toulejou,Haitian
dally,lanbinen,Haitian
dam,n baraj,Haitian
damage,n domaj,Haitian
damage,v domaje,Haitian
damn,v modi,Haitian
damp,"mouye, mwat",Haitian
dance,n dans,Haitian
dance,v danse,Haitian
danger,danje,Haitian
dare,"v defye, bay gabèl",Haitian
dark,"fonse, nwa",Haitian
darling,cheri,Haitian
darn,v reprize,Haitian
dart,"n flèch, javlo",Haitian
dart,v plonje,Haitian
dash,v detale,Haitian
dash,n priz,Haitian
data,"done, eleman",Haitian
date,dat,Haitian
daughter,"pitit fi, tifi",Haitian
daunt,"v dekouraje, entimide",Haitian
dawdle,"lanbinen, ranse",Haitian
dawn,"devanjou, avanjou",Haitian
day,"jou, jounen",Haitian
dazzle,"eblouyi, avegle (pete) je",Haitian
dead,"mouri, mò",Haitian
deaden,"amòti, mouri",Haitian
deadlock,enpas,Haitian
deaf,soud,Haitian
deal,"v distribye, bay",Haitian
dear,"shè, sheri",Haitian
dearth,"grangou, famin",Haitian
death,lanmò,Haitian
debase,"abese, avili",Haitian
debate,"debat, diskite",Haitian
debauch,debòch,Haitian
debt,dèt,Haitian
decay,"v pouri, dekonpoze",Haitian
deceive,"desevwa, bay koutba",Haitian
December,desanm,Haitian
decentralize,desantralize,Haitian
deception,desepsyon,Haitian
decide,deside,Haitian
decision,desizyon,Haitian
deck,"platfòm, pon",Haitian
declare,deklare,Haitian
decline,"refize, bese",Haitian
decorate,dekore,Haitian
decoy,payas,Haitian
decrease,diminye,Haitian
decree,dekrè,Haitian
deed,aksyon,Haitian
deep,fon,Haitian
de facto,defakto,Haitian
default,defo,Haitian
defeat,"v bat, venk",Haitian
defect,defo fabrik,Haitian
defense,defans,Haitian
defer,ranvwaye,Haitian
definite,definitif,Haitian
deft,ajil,Haitian
defy,"defye, pini",Haitian
degree,"degre, grad, diplòm",Haitian
delay,retade,Haitian
delegate,delege,Haitian
delete,efase,Haitian
deliberate,adj esprè,Haitian
deliberate,"v reflechi, debat",Haitian
delicate,delika,Haitian
delicious,bon gou,Haitian
delight,plezi,Haitian
delirious,"delala, fou",Haitian
deliver,delivre,Haitian
delve,fouye,Haitian
demand,n demann,Haitian
demand,v mande,Haitian
democracy,demokrasi,Haitian
democratic,demokratik,Haitian
demolish,demoli,Haitian
dense,epè,Haitian
deny,renye,Haitian
depart,pati,Haitian
department,depatman,Haitian
depend,depann,Haitian
depict,"dekri, demontre",Haitian
deport,depòte,Haitian
depose,dechoke,Haitian
deposit,n depo,Haitian
deposit,v depoze,Haitian
depot,depo,Haitian
deprave,detounen,Haitian
depress,peze,Haitian
depth,pwofondè,Haitian
descend,desann,Haitian
describe,dekri,Haitian
desert,dezè,Haitian
deserve,merite,Haitian
design,n desen,Haitian
design,v desine,Haitian
desire,"v ansi, vle",Haitian
desk,biwo,Haitian
despair,dezespere,Haitian
desperate,"dezespere, atoufè",Haitian
despite,malgre,Haitian
dessert,desè,Haitian
destiny,destine,Haitian
destroy,"detwi, kraze",Haitian
detach,detache,Haitian
detail,detay,Haitian
detail,v. detaye,Haitian
detain,"kenbe, arete",Haitian
detect,detekte,Haitian
deter,anpeche,Haitian
determined,"detèmine, antete",Haitian
detest,"deteste, rayi",Haitian
detour,detou,Haitian
devastate,devaste,Haitian
develop,v. develope,Haitian
development,developman,Haitian
device,enstriman,Haitian
devil,"demon, diab",Haitian
to the devil,o diab,Haitian
devout,devwe,Haitian
dew,larouze,Haitian
diary,jounal pèsonèl,Haitian
dictionary,diksyonè,Haitian
die,mouri,Haitian
differ,pa dakò,Haitian
different,diferan,Haitian
difficult,difisil,Haitian
difficulty,difikilte,Haitian
dig,fouye,Haitian
digest,n ekstrè,Haitian
digest,v dijere,Haitian
dignity,diyite,Haitian
diligent,debouya,Haitian
dilute,delye,Haitian
dim,pal,Haitian
dinner,dine,Haitian
dip,plonje,Haitian
direct,adj dirèk,Haitian
direct,v dirije,Haitian
direction,direksyon,Haitian
director,direktè,Haitian
dirt,"kras, pousyè, salte",Haitian
dirty,sal,Haitian
disable,v deranje,Haitian
disable,"andikape, enfim",Haitian
disagree,pa dakò,Haitian
diagreeable,dezagreyab,Haitian
disappear,v disparèt,Haitian
disappoint,desevwa,Haitian
disapprove,dezaprouve,Haitian
disarray,tètchaje,Haitian
disaster,dezas,Haitian
disburse,debouse,Haitian
discern,"dekouvri, disène",Haitian
discharge,vide,Haitian
discipline,disiplin,Haitian
discontent,mekontantman,Haitian
discord,dezakò,Haitian
discourage,dekouraje,Haitian
discover,dekouvri,Haitian
discredit,v. diskredite,Haitian
discrete,disrè,Haitian
discretion,diskresyon,Haitian
discuss,diskite,Haitian
disdain,deden,Haitian
disease,maladi,Haitian
disgrace,"dezonè, wont",Haitian
to disguise,degize,Haitian
disguise,digizmann,Haitian
disgust,degou,Haitian
dish,"asyèt, plat",Haitian
dismiss,"lage, ranvwaye",Haitian
disorder,dezòd,Haitian
disown,deposede,Haitian
dispensary,dispansè,Haitian
display,v etale,Haitian
disqualify,diskalifye,Haitian
dissipate,gaye,Haitian
distance,distans,Haitian
distinct,"disten , klè",Haitian
distinguish,distenge,Haitian
distort,defòme,Haitian
distract,distrè,Haitian
distribute,distribye,Haitian
district,deranje,Haitian
ditch,"ravin, twou",Haitian
dive,plonje,Haitian
diver,dayiva,Haitian
diverse,divès,Haitian
divide,divize,Haitian
divorce,divòs,Haitian
dizzy,gen vètij,Haitian
do,"fè, fabrike",Haitian
document,dokiman,Haitian
dog,chen,Haitian
doll,poupe,Haitian
dollar,dola,Haitian
dolphin,dofin,Haitian
domestic,adj peyi,Haitian
domestic,n restavèk,Haitian
Dominican Republic,Dominikani,Haitian
donkey,bourik,Haitian
doom,fayit,Haitian
door,pòt,Haitian
dormitory,dòtwa,Haitian
dot,"pwen, tach",Haitian
double,adj doub,Haitian
double,v double,Haitian
doubt,n dout,Haitian
doubt,v doute,Haitian
dough,pat farin,Haitian
dove,pijon,Haitian
down,adv anba,Haitian
down,v desann,Haitian
down there,anba-a,Haitian
downtown,lavil,Haitian
draft,n kourandè,Haitian
draft,v anrole,Haitian
drag,trennen,Haitian
drain,egou,Haitian
draw,rale,Haitian
drawback,dezavantaj,Haitian
draw near,pròche,Haitian
dream,rèv,Haitian
dreary,"tris, sonm",Haitian
dress,n ròb,Haitian
dress,v abiye,Haitian
dressed,abyè,Haitian
drift,flote,Haitian
drill,n dril,Haitian
drill,v fè egzèsis,Haitian
drink,n bweson,Haitian
drink,v bwè,Haitian
drip,degoute,Haitian
drive,kondui,Haitian
drive,n. promenad,Haitian
driver,"chofè, kondiktè",Haitian
drizzle,v farinen,Haitian
drop,n gout,Haitian
drop,v lage,Haitian
drought,sechrès,Haitian
drown,nwaye,Haitian
drug,dròg,Haitian
drum,droum,Haitian
drunk,sou,Haitian
dry,sèk,Haitian
duck,kanna,Haitian
dull,mat,Haitian
dumb,"adj enbesil, gaga",Haitian
dump,n pil fatra,Haitian
dump,v jete,Haitian
dune,pilsab,Haitian
dung,fimye,Haitian
during,pandan,Haitian
dusk,labrin,Haitian
dust,pousyè,Haitian
duty,"dwa, taks",Haitian
dwarf,tinen,Haitian
dwelling,kay,Haitian
dye,"v kolore,d ",Haitian
in the afternoon,d laprèmidi,Haitian
of (used very sparingly),d,Haitian
first of all,dabò,Haitian
agree,dakò,Haitian
gutter,dal,Haitian
mold (for pouring cement),dal planche,Haitian
"many, much",dal,Haitian
cement roof,dal,Haitian
queen (in cards or chess),dam,Haitian
lady,dam,Haitian
dam,dam,Haitian
to win,damen,Haitian
demijohn,damjann,Haitian
love (each other),damou,Haitian
"love, (be in love)",damou,Haitian
in love with,damou pou,Haitian
checkers (game),"  damye (dam, danm) ",Haitian
fang,dan,Haitian
tooth,dan,Haitian
danger,danje,Haitian
peril,danje,Haitian
produce,danre (legim),Haitian
goods,danre,Haitian
dance,dans,Haitian
dance,danse,Haitian
ravish,dapiyan (vyole),Haitian
according to,daprè,Haitian
date,dat,Haitian
besides,dayè,Haitian
diver,dayiva,Haitian
you're welcome,de ryen,Haitian
some (pl article),de,Haitian
two,de,Haitian
land,debake (atèri),Haitian
clear,debarase,Haitian
rid,debarase,Haitian
debate,debat (diskite),Haitian
deliberate,debat,Haitian
debauch,debòch,Haitian
overflow,debòde (desann),Haitian
disburse,debouse,Haitian
diligent,debouya,Haitian
nifty,debouya,Haitian
cope,debouye (abitye),Haitian
manage,debouye,Haitian
jag,dechikte,Haitian
tear,dechire,Haitian
depose,dechoke,Haitian
disdain,deden,Haitian
de facto,defakto,Haitian
defense,defans,Haitian
lapse,"defayans (erè, (v. perime)",Haitian
undo,defè,Haitian
default,defo,Haitian
fault n,defo,Haitian
fault,defo,Haitian
distort,defòme,Haitian
twice,defwa,Haitian
dare,defye (bay gabèl),Haitian
defy,defye (pini),Haitian
get along,degaje (kenbe),Haitian
to disguise,degize,Haitian
disgust,degou,Haitian
nasty,"  degoutan (dezagreyab, malpwòp) ",Haitian
abject,degoutan,Haitian
lousy,degoutan,Haitian
drip,degoute,Haitian
degree,"  degre (grad, diplòm) ",Haitian
ritual,degre,Haitian
yet,"  deja (anko, toujou) ",Haitian
already,deja,Haitian
breakfast,dejne,Haitian
wane,dekadans,Haitian
convict,deklare koupab,Haitian
contend,"  deklare (soutni, kenbe) ",Haitian
affirm,deklare,Haitian
declare,deklare,Haitian
state,deklare,Haitian
decay,dekonpoze,Haitian
decay,dekonpoze,Haitian
count,dekont,Haitian
adorn,dekore,Haitian
daunt,dekouraje (entimide),Haitian
discourage,dekouraje,Haitian
discern,dekouvri (disène),Haitian
discover,dekouvri,Haitian
decree,dekrè,Haitian
depict,dekri (demontre),Haitian
describe,dekri,Haitian
delirious,delala (fou),Haitian
delegate,delege,Haitian
free,delibere,Haitian
liberate,delibere,Haitian
delicate,delika,Haitian
deliver,delivre,Haitian
give birth,delivre,Haitian
rescue,delivre,Haitian
dilute,delye,Haitian
walk,demach,Haitian
request,demand,Haitian
itch,"demanjezon (gratèl, (v. grate)",Haitian
demand n,demann,Haitian
belie,demanti,Haitian
raze,demantle,Haitian
tomorrow,demen,Haitian
half,demi (mwatye),Haitian
obsolete,demode,Haitian
outdated,demode,Haitian
democracy,demokrasi,Haitian
democratic,demokratik,Haitian
demolish,demoli,Haitian
devil,demon,Haitian
depict,demontre,Haitian
abash,demoralize,Haitian
last,dènye,Haitian
rely,depann sou (gen konfyans),Haitian
depend,depann,Haitian
expense,depans (frè),Haitian
spend,depanse,Haitian
exceed,"  depase (eksede, in briye) ",Haitian
county,depatman,Haitian
department,depatman,Haitian
telegram,depèch,Haitian
ago,depi,Haitian
move something,deplase,Haitian
mouman,deplase,Haitian
move,deplase,Haitian
pluck,"  deplimen (rache, keyi) ",Haitian
deposit n,depo,Haitian
depot,depo,Haitian
disown,deposede,Haitian
deport,depòte,Haitian
put,"  depoze (sere, foure, etenn) ",Haitian
deposit,depoze,Haitian
colon,depwen,Haitian
molest,deranje (moleste),Haitian
upset,deranje (trouble),Haitian
disable,deranje,Haitian
district,deranje,Haitian
intrude,deranje,Haitian
get started,derape,Haitian
weigh anchor,derape,Haitian
spare,derechany,Haitian
baffle,deroute,Haitian
December,desanm,Haitian
coast,desann sou roulib,Haitian
camp,desann (poze pye),Haitian
down,desann,Haitian
get out (of vehicle),desann,Haitian
go down,desann,Haitian
lose weight,desann,Haitian
lower,desann,Haitian
overflow,desann,Haitian
stay (.. at),desann,Haitian
decentralize,desantralize,Haitian
dessert,desè,Haitian
cartoon,desen anime,Haitian
design,desen,Haitian
deception,desepsyon,Haitian
deceive,desevwa (bay koutba),Haitian
disappoint,desevwa,Haitian
decide,deside,Haitian
design,desine,Haitian
verdict,desizyon (jijman),Haitian
decision,desizyon,Haitian
destiny,destine,Haitian
fate,destine,Haitian
fate,destine,Haitian
debt,dèt,Haitian
apart,detache,Haitian
dash,detale,Haitian
relax,detann,Haitian
detail,detaye,Haitian
detect,detekte,Haitian
abhor,deteste (rayi),Haitian
detest,deteste (rayi),Haitian
bang,detonasyon,Haitian
detour,detou,Haitian
avert,detounen,Haitian
deprave,detounen,Haitian
hijack,detounen,Haitian
ward,detounen,Haitian
ransack,devalize,Haitian
 forward,devan,Haitian
front,devan,Haitian
backwards,devan-dèyè,Haitian
dawn,devanjou (avanjou),Haitian
ahead,devann,Haitian
ravage,devaste (ravaje),Haitian
devastate,"devaste,  develope develop ",Haitian
development,developman,Haitian
spill,devide,Haitian
guess,devine,Haitian
puzzle,devinèt (problèm),Haitian
riddle,devinèt,Haitian
homework,devwa,Haitian
reveal,devwale (gaye),Haitian
devout,devwe,Haitian
bypass,devyasyon,Haitian
buttocks,dèyè (bounda),Haitian
after,dèyè,Haitian
behind,dèyè,Haitian
rear,dèyè,Haitian
exterior,deyò (eksteryè),Haitian
illegitimate,deyò,Haitian
out,deyò,Haitian
outside,deyò,Haitian
without,deyò,Haitian
bathrobe,dezabiye (moumou),Haitian
diagreeable,dezagreyab,Haitian
discord,dezakò,Haitian
disapprove,dezaprouve,Haitian
disaster,dezas,Haitian
drawback,dezavantaj,Haitian
desert,dezè,Haitian
casual,dezenvòlt,Haitian
despair,dezespere,Haitian
lose hope,dezespere,Haitian
appoint,dezinyen,Haitian
assign,deziyen (anchaje),Haitian
violate,dezobeyi,Haitian
disorder,dezòd,Haitian
mess,dezòd,Haitian
disgrace,dezonè (wont),Haitian
