Word,Creole_word,Creole_name
antennae (of insect),bía  ,Saramaccan
beard,bía  ,Saramaccan
whiskers,bía  ,Saramaccan
screw,biápéégu,Saramaccan
whirlpool,biáwáta,Saramaccan
drum,bidón,Saramaccan
because,bigá  ,Saramaccan
beginning,bigí,Saramaccan
to begin,bigí,Saramaccan
big,bígi,Saramaccan
beer,bíi  ,Saramaccan
belief,biíbi,Saramaccan
believe,biíbi,Saramaccan
presume,biíbi,Saramaccan
flood waters,biibíi,Saramaccan
swamp,biibíi,Saramaccan
mosquito,biibíí fóo,Saramaccan
letter,biífi,Saramaccan
paper,biífi,Saramaccan
lichens,bilolí,Saramaccan
moss,bilolí,Saramaccan
naval,bíngo,Saramaccan
decoration,bisí  ,Saramaccan
to decorate,bisí  ,Saramaccan
or polish,bísi  ,Saramaccan
to sand,bísi  ,Saramaccan
bitter,bíta,Saramaccan
worm,bítju,Saramaccan
bow,bö́,Saramaccan
wood,boánti,Saramaccan
breast,bóbi,Saramaccan
amazing,bö́djëë  ,Saramaccan
sly,bö́djëë  ,Saramaccan
sneaking,bö́djëë  ,Saramaccan
to amaze,bö́djëë  ,Saramaccan
tapir,bófo,Saramaccan
abscess,bói  ,Saramaccan
boil,bói  ,Saramaccan
to boil,bói  ,Saramaccan
to cook,bói  ,Saramaccan
except,bóiti,Saramaccan
box,bö́kúsu  ,Saramaccan
drill,bólu  ,Saramaccan
pastry,bólu  ,Saramaccan
sweet roll,bólu  ,Saramaccan
to drill,bólu  ,Saramaccan
group,bóndji,Saramaccan
to cluster,bóndji,Saramaccan
bone,bónu,Saramaccan
breath,böö́  ,Saramaccan
fist,böö́  ,Saramaccan
instep,böö́ u fútu,Saramaccan
hurriedly,booboo,Saramaccan
bridge,boóki  ,Saramaccan
stairs,boóki  ,Saramaccan
steps,boóki  ,Saramaccan
be broken,boóko  ,Saramaccan
to break,boóko  ,Saramaccan
worry,boókóhédi,Saramaccan
deaf,boókójési,Saramaccan
blind,boókówójo  ,Saramaccan
flour,boón,Saramaccan
kiss,bósi,Saramaccan
to kiss,bósi,Saramaccan
message,bosikópu,Saramaccan
brush,bö́sö,Saramaccan
to loosen,bösö  ,Saramaccan
to slacken,bösö  ,Saramaccan
joker,botjítjima,Saramaccan
boat,bóto  ,Saramaccan
blackboard,bö́utu,Saramaccan
placard,bö́utu,Saramaccan
gnat,buábua,Saramaccan
skin,búba,Saramaccan
chain,búi,Saramaccan
to chain,búi,Saramaccan
quarrel,búja,Saramaccan
to fuss at,búja,Saramaccan
mouth,búka  ,Saramaccan
source,búka  ,Saramaccan
lips,búkákásíka,Saramaccan
saliva,búkáwáta,Saramaccan
bucket,bukéti,Saramaccan
book,búku  ,Saramaccan
"move, to",bulí  ,Saramaccan
toss,bulí  ,Saramaccan
donkey,bulíki,Saramaccan
good,búmbúu,Saramaccan
fog,bundji  ,Saramaccan
mold,bundji  ,Saramaccan
inexpensive,búnkópu,Saramaccan
correct,búnu,Saramaccan
goodheartedness,búnúháti,Saramaccan
unselfishness,búnúháti,Saramaccan
cracker,busikútu,Saramaccan
saltine,busikútu,Saramaccan
