Word,Creole_word,Creole_name
écorcher," kôché, griji ",Martinique
écorchure," kôchaj, griji, grijisman ",Martinique
écraser, krazé ,Martinique
écrevisse," kribich, zabitan ",Martinique
écrire," ékri, matjé ",Martinique
écrivain," écrivain, matjè ",Martinique
électeur, élèktè ,Martinique
élection, élèksyon ,Martinique
élève, zélèv ,Martinique
élever, élivé ,Martinique
éleveur de coqs de combat, pitè ,Martinique
embêter," tenmbolizé, tèrbolizé ",Martinique
embrouillamini," bankoulélé, lélékou, manjékochon ",Martinique
émietter, chiktayé ,Martinique
encre, lank ,Martinique
encrier, lankriyé ,Martinique
endurer," pijé, pwan fè ",Martinique
enfant," yich, timanmay, manmay ",Martinique
enfanter," fè yich, fè timanmay ",Martinique
enfuir (s')," wondi, mèch, pwan lavôl, fè lafimen ",Martinique
enregistrer , anrijistré ,Martinique
ensorceler," tjenbwazé, monté, pyayé ",Martinique
entraille," zantray, bway ",Martinique
épicerie," boutik, débi-d-laréji ",Martinique
épingle, zépeng ,Martinique
éplucher, pliché ,Martinique
épluchure, plichi ,Martinique
ergot, zègo ,Martinique
espiègle, katjopin ,Martinique
essayer," séyé, éséyé ",Martinique
etcoetera, kisasayésa ,Martinique
éternité ," létènité, tannité ",Martinique
étidiant, étidyan ,Martinique
étoile, zétwèl ,Martinique
étrenne, zétrenn ,Martinique
étude," étid, létid ",Martinique
étudier, étidyé ,Martinique
exciter (s'), fè chalè ,Martinique
fâcher, faché ,Martinique
famille, fanmi ,Martinique
facile," fasil, flouz ",Martinique
falloir," fôk, fodré, fo ",Martinique
fantôme, zonbi ,Martinique
farine (de froment), farin-fwans ,Martinique
fascicule, fasikil ,Martinique
fatiguer," fatidjé, renté, las, avanni ",Martinique
faucille, fosi ,Martinique
faute, fôt ,Martinique
fauteuil, fotèy ,Martinique
fenêtre," lafinèt, finèt ",Martinique
fier-à-bras, majô ,Martinique
fille, fi ,Martinique
femme, fanm ,Martinique
fendre, fann ,Martinique
feindre," fè wôl, fè lasanblan ",Martinique
feinte," flent, fent ",Martinique
feinter," flennté, fenté ",Martinique
fellation, sous ,Martinique
femelle, fimèl ,Martinique
fesse," fès, ponm-fès ",Martinique
fête," lafèt, fèt, banbôch, penteng ",Martinique
feuille, fèy ,Martinique
filiforme, mègzoklèt ,Martinique
finir, fini ,Martinique
flatter," flaté, sousé ",Martinique
flatteur," flatè, sousè, sousèkè ",Martinique
force," lafôs, fôs ",Martinique
fort, fô ,Martinique
fou (folle)," fou, dèkdèk, tôktôk ",Martinique
fouiller," foué, friyé ",Martinique
foutre, fouté ,Martinique
frêle ," fiankan, flègèdè, flègèdek ",Martinique
froid (le), frédi ,Martinique
froid (avoir), frèt ,Martinique
frontière, lalinman ,Martinique
fruit-à-pain," fouyapen, friyapen ",Martinique
fusil, fizi ,Martinique
fusiller, fisiller ,Martinique
gaieté, djété ,Martinique
gallodrome, pit ,Martinique
galoper, galoper ,Martinique
galopin, mamoukatji ,Martinique
gamelle, ganmèl ,Martinique
garçon, gason ,Martinique
garde, gad ,Martinique
garnir, garni ,Martinique
gâteau, gato ,Martinique
georges, jôj ,Martinique
geste, jès ,Martinique
gifle, kalôt ,Martinique
gifle sur les deux joues, palaviré ,Martinique
giron, madafa ,Martinique
goût, gou ,Martinique
goûter, gouté ,Martinique
goûter (un), katrè ,Martinique
grec, grèk ,Martinique
grèce," lagrès, grès ",Martinique
graisse," lagrès, grès ",Martinique
gratter, graté ,Martinique
grève," lagrèv, grèv ",Martinique
gréviste, grévis ,Martinique
grossier, gwosomodo ,Martinique
hardi," hadi, radi ",Martinique
haut, wo ,Martinique
hauteur, wotè ,Martinique
hindouisme," bondyé-kouli, mayémenn ",Martinique
hisser, palantjé ,Martinique
hiver, livè,Martinique
infirme," enpyôk, enfim ",Martinique
innocent, inosan ,Martinique
instituteur, enstititè ,Martinique
inutile, initil ,Martinique
inventaire , lenvantè,Martinique
jalousie, jalouzi ,Martinique
jambon, janbon ,Martinique
jardin, jaden ,Martinique
jare, ja ,Martinique
jaune, jôn ,Martinique
jeu, jé ,Martinique
jeudi, jédi ,Martinique
jeune, jenn ,Martinique
jeunesse, jénès ,Martinique
Jésus-christ,  Jézikri ,Martinique
jour, jou ,Martinique
journée," lajounen, jounen ",Martinique
judo, jido ,Martinique
judoka, jidoka ,Martinique
jujube, jijib ,Martinique
juge, jij ,Martinique
juger, jijé ,Martinique
juridiction, jiridiksyon ,Martinique
juridique, jiridique ,Martinique
juriste, jiris ,Martinique
kilo, tjilo ,Martinique
kilomètre, tjilomèt ,Martinique
laid, lèd ,Martinique
laideur, lédè ,Martinique
laideron, tètzoto ,Martinique
lapin, lapen ,Martinique
large, laj ,Martinique
largeur, lajè ,Martinique
lecteur, lèktè ,Martinique
lèsbienne, zanmiyèz ,Martinique
lettre, lèt ,Martinique
libellule," marisosé, dimwazèl ",Martinique
limon, lali ,Martinique
lire, li ,Martinique
lit, kabann ,Martinique
lit à colonnes, zizimtolé ,Martinique
locataire, lokatè ,Martinique
louche (œil) ," loli, zyé-loli ",Martinique
louer, lwé ,Martinique
loup, lou ,Martinique
lourd, lou ,Martinique
lymphatique, môlpi ,Martinique
maire," mè, li-mè ",Martinique
maître, mèt ,Martinique
maîtresse, métrès ,Martinique
maîtresse-femme, malfanm ,Martinique
marchande, machann ,Martinique
marchander, marchandé ,Martinique
marché," maché, mawché ",Martinique
marcher, maché ,Martinique
machine, machin ,Martinique
machoire, machwè ,Martinique
malad, malad ,Martinique
maladie, maladi ,Martinique
malfaiteur, malfétè ,Martinique
malheur, malè ,Martinique
malheureux, maléré ,Martinique
malin, malen ,Martinique
maman, manman ,Martinique
manger, manjé ,Martinique
mangeur, manjè ,Martinique
mangouste ," mangous, manglous ",Martinique
marbre, mab ,Martinique
mare, ma ,Martinique
marque, mak ,Martinique
massacre," masak, dépotjilaj, dérayaj ",Martinique
massacrer," masakré, dépotjolé, dérayé ",Martinique
maudire, modi ,Martinique
maudit, modi ,Martinique
mauvais, mové ,Martinique
mendiant, mandyannè ,Martinique
mendier, mandyanné ,Martinique
mensonge," mansonj, mantri, mantézon ",Martinique
menteur, mantè ,Martinique
mentir, manti ,Martinique
mesure, mizi ,Martinique
mesurer, miziré ,Martinique
miette, chiktay ,Martinique
militaire, militè ,Martinique
misérable, mirézab ,Martinique
misérabiliste, misérabilis ,Martinique
misère," lanmizè, misère ",Martinique
moeurs, mès ,Martinique
moiré," sousoun-klérant, sousoun-kléré ",Martinique
moquer, motjé ,Martinique
moqueur, motjè ,Martinique
monter, monté ,Martinique
morceau, môsô ,Martinique
mort," mounmô,  mô ",Martinique
morue, lanmori ,Martinique
moteur, motè,Martinique
mouchoir, mouchwè ,Martinique
mouchoir de tête," mouchwè-tèt, madras ",Martinique
moulin, moulen ,Martinique
mourir, mô ,Martinique
mouton, mouton ,Martinique
muscle, miks ,Martinique
musclé, misklé ,Martinique
myope ," koki, zyé-koki ",Martinique
mystère, mistè,Martinique
naître," né, nèt ",Martinique
narine,  zel-nen ,Martinique
nécessaire, nésésè ,Martinique
nécessité, nésésité ,Martinique
nègre," nèg, nèg-nwè ",Martinique
nénuphar, chapo-dlo ,Martinique
neveu, nivé ,Martinique
nez, nen ,Martinique
nièce," nyès, niyès ",Martinique
noce, nôs ,Martinique
noceur," banbochè, kranè, féta ",Martinique
noir, nwè ,Martinique
noirceur, nwèsè ,Martinique
nouveau, nouvo ,Martinique
noyer (se), néyé ,Martinique
nuage, niyaj ,Martinique
occupation, otjipasyon ,Martinique
occuper (s'), otjipé ,Martinique
offrande, ofwann ,Martinique
offrir, ofè ,Martinique
ongle, zong ,Martinique
orange," zoranj, zowanj ",Martinique
ordure, zòdi ,Martinique
oreiller, zowyé ,Martinique
orteil, zotèy ,Martinique
ortolan, zòtolan ,Martinique
os, zo ,Martinique
ossature, zobray ,Martinique
ours, lous ,Martinique
panier," panyen, pannyé ",Martinique
panser, pansé ,Martinique
pantin," bélévan, bwabwa ",Martinique
pantouf, pantoufle ,Martinique
parapluie, parapli ,Martinique
pardon, padon ,Martinique
pardonner, padonnen ,Martinique
parent, paran ,Martinique
parler, palé ,Martinique
pasteur, pastè ,Martinique
patience, pasyans ,Martinique
patrimoine, matjoukann ,Martinique
pauvre, pôv ,Martinique
payer, péyé ,Martinique
payeur, péyè ,Martinique
peau, lapo ,Martinique
peindre," penn, pentiré ",Martinique
peigne," peny, penn ",Martinique
peigner, penyen ,Martinique
peintre, pent ,Martinique
peinture (bâtiment), lapenti ,Martinique
peinture (art), penti ,Martinique
pendant," pannan, pandan ",Martinique
penser, pansé ,Martinique
père," papa,  pè ",Martinique
père (religieux)," pè, monpè ",Martinique
peser, pézé ,Martinique
pet, pété ,Martinique
pétarader, pétayé ,Martinique
péter, pété ,Martinique
peut-être," nè, mèyè, pétèt, pitèt ",Martinique
piège, zatrap ,Martinique
piéger, pwan adan an zatrap ,Martinique
pilule, pilil ,Martinique
pinceau, penso ,Martinique
pincement, pichon ,Martinique
pincer, pichonnen ,Martinique
pipe (à tabac), pipe ,Martinique
pipe (fellation), sous ,Martinique
pisse-au-lit, pisannit ,Martinique
pisser, pisé ,Martinique
pleutre, kôkôdô ,Martinique
pleurésie, pirézi ,Martinique
poids, pwa ,Martinique
pois, pwa ,Martinique
porte, l apôt ,Martinique
poste," pôs, lapôs ",Martinique
pot, pôt ,Martinique
pot de chambre," dobann, pôtchanm ",Martinique
pouce," pous, gwodwèt ",Martinique
poudre, lapoud ,Martinique
poul, poul ,Martinique
poulailler, kay-poul ,Martinique
poupée, pôpôt ,Martinique
poursuite, zwèlséré ,Martinique
pousser, pousé ,Martinique
pousser (grandir)," pousé, pwofité ",Martinique
pouvwè, pouvoir ,Martinique
prefet, préfé ,Martinique
préfecture," lapréfèkti, préfèkti ",Martinique
prendre, pran ,Martinique
préservatif," fokal, chapo ",Martinique
préservation, prézèvasyon ,Martinique
préserver, prézèvé ,Martinique
preuve, prèv ,Martinique
prévoir, prévwè ,Martinique
prison," lajôl, laprizon, prizon ",Martinique
promesse, pwonmès ,Martinique
promettre," ponmèt, pwonmèt ",Martinique
prostate, blad-pisa ,Martinique
prostituée," manawa, bôbô ",Martinique
prostituer (se), fè manawa ,Martinique
proue, wagaba ,Martinique
puce, pis ,Martinique
puisque, pis ,Martinique
punaise, pinez ,Martinique
punir, pini ,Martinique
punition, pinision ,Martinique
purée, piré ,Martinique
purger, pijé ,Martinique
pus," matiè, pi, lapostim, limè",Martinique
quart d'heure, kardè ,Martinique
querelle," tren, ladjè ",Martinique
quereller," chaché tren, siré ",Martinique
querelleur," chach-tren, sirè",Martinique
raccourcir, rakousi ,Martinique
race, ras ,Martinique
raciste, rasis ,Martinique
rapide, rapid ,Martinique
rapidité, balan ,Martinique
rare, ra ,Martinique
rat, rat ,Martinique
rater, mantjé ,Martinique
rebuffade," bok, bouf ",Martinique
recette , riset ,Martinique
refroidir," frédi, rifrédi ",Martinique
refroidissement, frédisman ,Martinique
retard, rita ,Martinique
retardataire, ritardatè ,Martinique
retarder, ritadé ,Martinique
retour," viré, déviré, ritou ",Martinique
rêve, rèv ,Martinique
rêver, révé ,Martinique
rêveur, révè ,Martinique
rhum," wonm, tafia ",Martinique
rire, ri ,Martinique
risque," riks, risk ",Martinique
roi ,  wa ,Martinique
rond, won ,Martinique
rue , lari ,Martinique
ruelle, riyel ,Martinique
savoir," sa, sav, konnet ",Martinique
scélérat," séléra, chyen, chyenfè, isalôp ",Martinique
scélératesse," chyennri, salopri, salopté ",Martinique
sec," chès, sèk ",Martinique
